PREFIXE,OPERATEUR COMPLET
0939,Twilio Ireland Limited
0939,SFR
0946,Inconnu
0947,Inconnu
0947,Orange (France Télécom)
0948,Orange (France Télécom)
0948,Free
0948,Twilio Ireland Limited
0948,Bouygues Telecom
0948,Inconnu
0948,SFR
0950,Free
0951,Free
0952,Free
0953,Free
0954,Free
0955,Free
0956,Free
0957,Free
0958,Free
0959,Free
0960,Orange (France Télécom)
0961,Orange (France Télécom)
0962,Orange (France Télécom)
0963,Orange (France Télécom)
0964,Orange (France Télécom)
0965,Orange (France Télécom)
0966,Orange (France Télécom)
0967,Orange (France Télécom)
0968,Orange (France Télécom)
0969,Orange (France Télécom)
0970,Free
0970,Bouygues Telecom
0970,SFR
0970,Orange (France Télécom)
0970,Hub One
0970,Inconnu
0971,Inconnu
0971,Orange (France Télécom)
0971,SFR
0972,Inconnu
0972,Microsoft Ireland Operations Limited
0972,Free
0972,Orange (France Télécom)
0973,Bouygues Telecom
0973,Inconnu
0973,Free
0974,Inconnu
0974,SFR
0974,Orange (France Télécom)
0974,Twilio Ireland Limited
0975,Inconnu
0975,Orange (France Télécom)
0976,Orange (France Télécom)
0976,Inconnu
0977,Inconnu
0977,SFR
0977,Orange (France Télécom)
0978,Orange (France Télécom)
0978,Inconnu
0978,Free
0978,Microsoft Ireland Operations Limited
0978,Twilio Ireland Limited
0978,SFR
0979,SFR
0979,Inconnu
0979,Orange (France Télécom)
0980,Inconnu
0980,Bouygues Telecom
0980,Free
0981,Bouygues Telecom
0982,Bouygues Telecom
0982,Inconnu
0982,RingCentral France
0983,Inconnu
0983,Bouygues Telecom
0984,Inconnu
0984,Bouygues Telecom
0984,Free
0985,Free
0985,Inconnu
0986,Bouygues Telecom
0986,Inconnu
0987,Bouygues Telecom
0987,Inconnu
0988,Inconnu
0988,SFR
0988,Bouygues Telecom
0989,Free
01001,SFR
01007,Inconnu
01010,Orange (France Télécom)
01011,Free Mobile
01012,Free Mobile
01013,Orange (France Télécom)
01014,Orange (France Télécom)
01015,Orange (France Télécom)
01016,Orange (France Télécom)
01017,Orange (France Télécom)
01018,Orange (France Télécom)
01020,Inconnu
01022,Bouygues Telecom
01023,SFR
01024,SFR
01025,SFR
01026,SFR
01030,SFR
01033,Free
01034,Bouygues Telecom
01043,Inconnu
01044,Free
01055,Inconnu
01057,Inconnu
01061,Bouygues Telecom
01064,Bouygues Telecom
01067,Bouygues Telecom
01068,Bouygues Telecom
01090,SFR
01097,Inconnu
01099,SFR
01160,SFR
01161,Orange (France Télécom)
01180,Inconnu
01182,Inconnu
01183,Inconnu
01184,Inconnu
01185,Inconnu
01187,Orange (France Télécom)
03000,Orange (France Télécom)
03001,SFR
03002,Inconnu
03003,Orange (France Télécom)
03004,Orange (France Télécom)
03005,Orange (France Télécom)
03006,Inconnu
03007,Orange (France Télécom)
03010,Orange (France Télécom)
03011,Orange (France Télécom)
03012,SFR
03013,Inconnu
03015,Orange (France Télécom)
03017,Orange (France Télécom)
03018,Orange (France Télécom)
03020,SFR
03022,Orange (France Télécom)
03024,Orange (France Télécom)
03025,Orange (France Télécom)
03030,SFR
03031,Orange (France Télécom)
03033,SFR
03034,SFR
03035,Orange (France Télécom)
03036,Orange (France Télécom)
03039,SFR
03044,Inconnu
03050,Orange (France Télécom)
03052,Inconnu
03055,SFR
03060,SFR
03070,Inconnu
03083,Orange (France Télécom)
03099,Inconnu
03100,Bouygues Telecom
03101,Orange (France Télécom)
03102,Inconnu
03103,Orange (France Télécom)
03106,Bouygues Telecom
03110,SFR
03111,Inconnu
03113,Orange (France Télécom)
03114,Orange (France Télécom)
03115,Inconnu
03116,Inconnu
03117,SFR
03121,Orange (France Télécom)
03123,SFR
03130,Bouygues Telecom
03131,Orange (France Télécom)
03132,Orange (France Télécom)
03133,SFR
03141,SFR
03150,Orange (France Télécom)
03155,Orange (France Télécom)
03200,Inconnu
03201,Inconnu
03203,Orange (France Télécom)
03204,SFR
03209,SFR
03210,Inconnu
03211,Inconnu
03212,Inconnu
03213,Orange (France Télécom)
03214,Inconnu
03215,Inconnu
03216,Inconnu
03218,SFR
03220,Inconnu
03222,SFR
03223,Orange (France Télécom)
03224,SFR
03225,Orange (France Télécom)
03227,Inconnu
03228,Inconnu
03230,Inconnu
03231,SFR
03232,Inconnu
03233,SFR
03234,Inconnu
03236,Inconnu
03237,Orange (France Télécom)
03238,Inconnu
03240,Inconnu
03241,Orange (France Télécom)
03242,Inconnu
03243,Orange (France Télécom)
03244,Free
03245,Orange (France Télécom)
03246,SFR
03250,Inconnu
03251,SFR
03255,Inconnu
03256,SFR
03260,SFR
03266,Orange (France Télécom)
03270,Inconnu
03271,Orange (France Télécom)
03273,Orange (France Télécom)
